time,lat,lon,depth,sbact_cmore,Unit,picoprokaryote,picoprokaryote_std,target_unit
2010-11-19T00:00:00,-20.0833166666666,-70.8000166666666,5,0.042,[cells/mL (X 10^5)],0.5075319036841393,0.021552997532072193, [mmol C/m^3]
2010-11-19T00:00:00,-20.0833166666666,-70.8000166666666,9,0.051,[cells/mL (X 10^5)],0.5075319036841393,0.021552997532072193, [mmol C/m^3]
2010-11-19T00:00:00,-20.0833166666666,-70.8000166666666,13,0.141,[cells/mL (X 10^5)],0.49963463470339775,0.02014523801926814, [mmol C/m^3]
2010-11-19T00:00:00,-20.0833166666666,-70.8000166666666,20,0.512,[cells/mL (X 10^5)],0.47666994854807854,0.028982606414335865, [mmol C/m^3]
2010-11-19T00:00:00,-20.0833166666666,-70.8000166666666,22,0.322,[cells/mL (X 10^5)],0.4537052623927593,0.013737481840137804, [mmol C/m^3]
2010-11-19T00:00:00,-20.0833166666666,-70.8000166666666,36,0.024,[cells/mL (X 10^5)],0.36676083505153656,0.026981088068850318, [mmol C/m^3]
2010-11-19T00:00:00,-20.0833166666666,-70.8000166666666,48,0.039,[cells/mL (X 10^5)],0.18987477757036686,0.03339156375156435, [mmol C/m^3]
2010-11-19T00:00:00,-20.0833166666666,-70.8000166666666,100,0.002,[cells/mL (X 10^5)],2.349178936356111e-05,1.8841334463282355e-05, [mmol C/m^3]
2010-11-19T00:00:00,-20.0833166666666,-70.8000166666666,376,0.001,[cells/mL (X 10^5)],,, [mmol C/m^3]
2010-11-20T00:00:00,-20.096133333333302,-70.8000166666666,6,0.845,[cells/mL (X 10^5)],0.5047616586089134,0.021777895188089733, [mmol C/m^3]
2010-11-20T00:00:00,-20.096133333333302,-70.8000166666666,13,1.567,[cells/mL (X 10^5)],0.49771877378225327,0.02068816607569062, [mmol C/m^3]
2010-11-20T00:00:00,-20.096133333333302,-70.8000166666666,17,1.58,[cells/mL (X 10^5)],0.49771877378225327,0.02068816607569062, [mmol C/m^3]
2010-11-20T00:00:00,-20.096133333333302,-70.8000166666666,32,0.238,[cells/mL (X 10^5)],0.3709018900990486,0.02951987687658775, [mmol C/m^3]
2010-11-20T00:00:00,-20.096133333333302,-70.8000166666666,42,0.008,[cells/mL (X 10^5)],0.1931786797940731,0.03711417175673661, [mmol C/m^3]
2010-11-20T00:00:00,-20.096133333333302,-70.8000166666666,50,0.018000000000000002,[cells/mL (X 10^5)],0.1291967872530222,0.073936809501293, [mmol C/m^3]
2010-11-20T00:00:00,-20.096133333333302,-70.8000166666666,100,0.005,[cells/mL (X 10^5)],2.3495190134781296e-05,2.1355988972468065e-05, [mmol C/m^3]
2010-11-20T00:00:00,-20.096133333333302,-70.8000166666666,400,0.001,[cells/mL (X 10^5)],,, [mmol C/m^3]
2010-11-21T00:00:00,-20.0833166666666,-70.7999833333333,7,0.239,[cells/mL (X 10^5)],0.5045165196061134,0.018880424283890338, [mmol C/m^3]
2010-11-21T00:00:00,-20.0833166666666,-70.7999833333333,13,0.448,[cells/mL (X 10^5)],0.4968375004827976,0.01768754083177796, [mmol C/m^3]
2010-11-21T00:00:00,-20.0833166666666,-70.7999833333333,18,0.682,[cells/mL (X 10^5)],0.4968375004827976,0.01768754083177796, [mmol C/m^3]
2010-11-21T00:00:00,-20.0833166666666,-70.7999833333333,25,0.235,[cells/mL (X 10^5)],0.4538732320070267,0.014481625773833821, [mmol C/m^3]
2010-11-21T00:00:00,-20.0833166666666,-70.7999833333333,30,0.141,[cells/mL (X 10^5)],0.41269017197191715,0.048144803448996715, [mmol C/m^3]
2010-11-21T00:00:00,-20.0833166666666,-70.7999833333333,33,0.126,[cells/mL (X 10^5)],0.37150711193680763,0.029674660065635957, [mmol C/m^3]
2010-11-21T00:00:00,-20.0833166666666,-70.7999833333333,43,0.023,[cells/mL (X 10^5)],0.19302714429795742,0.03646109483092657, [mmol C/m^3]
2010-11-21T00:00:00,-20.0833166666666,-70.7999833333333,50,0.064,[cells/mL (X 10^5)],0.12888815253973007,0.07217652834199381, [mmol C/m^3]
2010-11-21T00:00:00,-20.0833166666666,-70.7999833333333,70,0.004,[cells/mL (X 10^5)],0.013596712844446301,0.006470221983035905, [mmol C/m^3]
2010-11-21T00:00:00,-20.0833166666666,-70.7999833333333,100,0.004,[cells/mL (X 10^5)],2.1652152724982443e-05,1.7576737824079014e-05, [mmol C/m^3]
2010-11-22T00:00:00,-20.0833333333333,-70.7999833333333,5,0.462,[cells/mL (X 10^5)],0.5045165196061134,0.018880424283890338, [mmol C/m^3]
2010-11-22T00:00:00,-20.0833333333333,-70.7999833333333,24,0.722,[cells/mL (X 10^5)],0.4538732320070267,0.014481625773833821, [mmol C/m^3]
2010-11-22T00:00:00,-20.0833333333333,-70.7999833333333,48,0.031,[cells/mL (X 10^5)],0.19302714429795742,0.03646109483092657, [mmol C/m^3]
2010-11-22T00:00:00,-20.0833333333333,-70.7999833333333,54,0.012,[cells/mL (X 10^5)],0.06474916078150272,0.02075339689393208, [mmol C/m^3]
2010-11-22T00:00:00,-20.0833333333333,-70.7999833333333,60,0.006,[cells/mL (X 10^5)],0.03917293681297451,0.03030320390744284, [mmol C/m^3]
2010-11-22T00:00:00,-20.0833333333333,-70.7999833333333,66,0.006999999999999999,[cells/mL (X 10^5)],0.013596712844446301,0.006470221983035905, [mmol C/m^3]
2010-11-22T00:00:00,-20.0833333333333,-70.7999833333333,73,0.004,[cells/mL (X 10^5)],0.0018294837500434369,0.0011043220030207757, [mmol C/m^3]
2010-11-22T00:00:00,-20.0833333333333,-70.7999833333333,83,0.005,[cells/mL (X 10^5)],0.00020009176205348922,0.00013521159378711268, [mmol C/m^3]
2010-11-22T00:00:00,-20.0833333333333,-70.7999833333333,100,0.003,[cells/mL (X 10^5)],2.1652152724982443e-05,1.7576737824079014e-05, [mmol C/m^3]
2010-11-25T00:00:00,-21.177483333333303,-76.5725833333333,10,0.27,[cells/mL (X 10^5)],0.41434423439204693,0.018751239055395504, [mmol C/m^3]
2010-11-25T00:00:00,-21.177483333333303,-76.5725833333333,20,0.293,[cells/mL (X 10^5)],0.3967036008834839,0.021268471594032896, [mmol C/m^3]
2010-11-25T00:00:00,-21.177483333333303,-76.5725833333333,24,0.665,[cells/mL (X 10^5)],0.3807668052613735,0.006399244732695313, [mmol C/m^3]
2010-11-25T00:00:00,-21.177483333333303,-76.5725833333333,27,0.604,[cells/mL (X 10^5)],0.3807668052613735,0.006399244732695313, [mmol C/m^3]
2010-11-25T00:00:00,-21.177483333333303,-76.5725833333333,37,0.48,[cells/mL (X 10^5)],0.3487325869500637,0.0061769751658981575, [mmol C/m^3]
2010-11-25T00:00:00,-21.177483333333303,-76.5725833333333,50,0.114,[cells/mL (X 10^5)],0.295012672431767,0.031820848799176855, [mmol C/m^3]
2010-11-25T00:00:00,-21.177483333333303,-76.5725833333333,65,0.022,[cells/mL (X 10^5)],0.1829936970025301,0.024804411001391066, [mmol C/m^3]
2010-11-25T00:00:00,-21.177483333333303,-76.5725833333333,100,0.001,[cells/mL (X 10^5)],0.03319915826432407,0.008862185821977734, [mmol C/m^3]
2010-11-27T00:00:00,-22.26095,-82.3478833333333,12,0.035,[cells/mL (X 10^5)],0.272329593077302,0.023521442234958216, [mmol C/m^3]
2010-11-27T00:00:00,-22.26095,-82.3478833333333,23,0.039,[cells/mL (X 10^5)],0.26875247806310654,0.022527399027863472, [mmol C/m^3]
2010-11-27T00:00:00,-22.26095,-82.3478833333333,32,0.041,[cells/mL (X 10^5)],0.25629982724785805,0.023238964444030365, [mmol C/m^3]
2010-11-27T00:00:00,-22.26095,-82.3478833333333,45,0.038,[cells/mL (X 10^5)],0.2429693154990673,0.02076281598650292, [mmol C/m^3]
2010-11-27T00:00:00,-22.26095,-82.3478833333333,60,0.031,[cells/mL (X 10^5)],0.22909878753125668,0.016680763600185913, [mmol C/m^3]
2010-11-27T00:00:00,-22.26095,-82.3478833333333,80,0.024,[cells/mL (X 10^5)],0.20412222854793072,0.00958723524220124, [mmol C/m^3]
2010-11-27T00:00:00,-22.26095,-82.3478833333333,100,0.016,[cells/mL (X 10^5)],0.17427965253591537,0.0128054634995531, [mmol C/m^3]
2010-11-27T00:00:00,-22.26095,-82.3478833333333,120,0.021,[cells/mL (X 10^5)],0.14038032572716475,0.015401523304487916, [mmol C/m^3]
2010-11-27T00:00:00,-22.26095,-82.3478833333333,200,0.006,[cells/mL (X 10^5)],,, [mmol C/m^3]
2010-11-30T00:00:00,-23.458466666666602,-88.7681666666666,15,0.023,[cells/mL (X 10^5)],0.18697023950517178,0.01632519490528767, [mmol C/m^3]
2010-11-30T00:00:00,-23.458466666666602,-88.7681666666666,29,0.017,[cells/mL (X 10^5)],0.186452466994524,0.0161349003440402, [mmol C/m^3]
2010-11-30T00:00:00,-23.458466666666602,-88.7681666666666,40,0.017,[cells/mL (X 10^5)],0.1728061307221651,0.014562554850261613, [mmol C/m^3]
2010-11-30T00:00:00,-23.458466666666602,-88.7681666666666,56,0.026,[cells/mL (X 10^5)],0.15518307127058506,0.004658289844927196, [mmol C/m^3]
2010-11-30T00:00:00,-23.458466666666602,-88.7681666666666,73,0.046,[cells/mL (X 10^5)],0.145032262429595,0.0038076104764356512, [mmol C/m^3]
2010-11-30T00:00:00,-23.458466666666602,-88.7681666666666,96,0.018000000000000002,[cells/mL (X 10^5)],0.14067898876965046,0.0032565710322192275, [mmol C/m^3]
2010-11-30T00:00:00,-23.458466666666602,-88.7681666666666,110,0.006999999999999999,[cells/mL (X 10^5)],0.13863993994891644,0.0030585284996379413, [mmol C/m^3]
2010-12-01T00:00:00,-23.45845,-88.7681333333333,15,0.018000000000000002,[cells/mL (X 10^5)],0.18697023950517178,0.01632519490528767, [mmol C/m^3]
2010-12-01T00:00:00,-23.45845,-88.7681333333333,29,0.018000000000000002,[cells/mL (X 10^5)],0.186452466994524,0.0161349003440402, [mmol C/m^3]
2010-12-01T00:00:00,-23.45845,-88.7681333333333,40,0.017,[cells/mL (X 10^5)],0.1728061307221651,0.014562554850261613, [mmol C/m^3]
2010-12-01T00:00:00,-23.45845,-88.7681333333333,56,0.024,[cells/mL (X 10^5)],0.15518307127058506,0.004658289844927196, [mmol C/m^3]
2010-12-01T00:00:00,-23.45845,-88.7681333333333,74,0.027000000000000003,[cells/mL (X 10^5)],0.145032262429595,0.0038076104764356512, [mmol C/m^3]
2010-12-01T00:00:00,-23.45845,-88.7681333333333,120,0.008,[cells/mL (X 10^5)],0.13652051985263824,0.0029278834735647764, [mmol C/m^3]
2010-12-04T00:00:00,-24.560316666666605,-94.7246833333333,16,0.014,[cells/mL (X 10^5)],0.15647069923579693,0.01112903524571786, [mmol C/m^3]
2010-12-04T00:00:00,-24.560316666666605,-94.7246833333333,31,0.013,[cells/mL (X 10^5)],0.15489770099520683,0.012323189864878261, [mmol C/m^3]
2010-12-04T00:00:00,-24.560316666666605,-94.7246833333333,43,0.014,[cells/mL (X 10^5)],0.1450940640643239,0.021377414159235764, [mmol C/m^3]
2010-12-04T00:00:00,-24.560316666666605,-94.7246833333333,60,0.017,[cells/mL (X 10^5)],0.13598499819636345,0.022044492514223153, [mmol C/m^3]
2010-12-04T00:00:00,-24.560316666666605,-94.7246833333333,80,0.015,[cells/mL (X 10^5)],0.129408685490489,0.021640761736276173, [mmol C/m^3]
2010-12-04T00:00:00,-24.560316666666605,-94.7246833333333,105,0.016,[cells/mL (X 10^5)],0.12429598160088062,0.020280738359178832, [mmol C/m^3]
2010-12-04T00:00:00,-24.560316666666605,-94.7246833333333,125,0.009000000000000001,[cells/mL (X 10^5)],0.12081029266119003,0.018632189927300567, [mmol C/m^3]
2010-12-04T00:00:00,-24.560316666666605,-94.7246833333333,200,0.003,[cells/mL (X 10^5)],,, [mmol C/m^3]
2010-12-06T00:00:00,-25.551183333333306,-100.135566666666,17,0.004,[cells/mL (X 10^5)],0.1505629327148199,0.0067696022348256646, [mmol C/m^3]
2010-12-06T00:00:00,-25.551183333333306,-100.135566666666,34,0.003,[cells/mL (X 10^5)],0.14914333075284958,0.007551802924797458, [mmol C/m^3]
2010-12-06T00:00:00,-25.551183333333306,-100.135566666666,47,0.009000000000000001,[cells/mL (X 10^5)],0.13906094897538424,0.01647980915041812, [mmol C/m^3]
2010-12-06T00:00:00,-25.551183333333306,-100.135566666666,65,0.006999999999999999,[cells/mL (X 10^5)],0.1142015466466546,0.026811692706937833, [mmol C/m^3]
2010-12-06T00:00:00,-25.551183333333306,-100.135566666666,86,0.011,[cells/mL (X 10^5)],0.10682493261992931,0.02523966117014112, [mmol C/m^3]
2010-12-06T00:00:00,-25.551183333333306,-100.135566666666,113,0.001,[cells/mL (X 10^5)],0.10323603637516499,0.023903886896572805, [mmol C/m^3]
2010-12-06T00:00:00,-25.551183333333306,-100.135566666666,125,0.0,[cells/mL (X 10^5)],0.10275985393673182,0.02367764459321944, [mmol C/m^3]
2010-12-09T00:00:00,-26.2483,-103.96076666666599,100,0.006999999999999999,[cells/mL (X 10^5)],0.09594109281897545,0.010746027075206308, [mmol C/m^3]
2010-12-09T00:00:00,-26.2483,-103.96076666666599,105,0.006999999999999999,[cells/mL (X 10^5)],0.09633135702461004,0.01070208258443264, [mmol C/m^3]
2010-12-09T00:00:00,-26.2483,-103.96076666666599,110,0.006,[cells/mL (X 10^5)],0.09633135702461004,0.01070208258443264, [mmol C/m^3]
2010-12-09T00:00:00,-26.2483,-103.96076666666599,115,0.006,[cells/mL (X 10^5)],0.0966777354478836,0.010651831829211145, [mmol C/m^3]
2010-12-09T00:00:00,-26.2483,-103.96076666666599,120,0.006,[cells/mL (X 10^5)],0.0966777354478836,0.010651831829211145, [mmol C/m^3]
2010-12-09T00:00:00,-26.2483,-103.96076666666599,125,0.004,[cells/mL (X 10^5)],0.09694518055766821,0.01056126677669498, [mmol C/m^3]
2010-12-09T00:00:00,-26.2483,-103.96076666666599,130,0.001,[cells/mL (X 10^5)],0.09694518055766821,0.01056126677669498, [mmol C/m^3]
2010-12-09T00:00:00,-26.2483,-103.96076666666599,135,0.001,[cells/mL (X 10^5)],0.0971243092790246,0.01034652708539485, [mmol C/m^3]
2010-12-09T00:00:00,-26.2483,-103.96076666666599,140,0.0,[cells/mL (X 10^5)],0.0971243092790246,0.01034652708539485, [mmol C/m^3]
2010-12-09T00:00:00,-26.2483,-103.96076666666599,145,0.002,[cells/mL (X 10^5)],,, [mmol C/m^3]
2010-12-09T00:00:00,-26.2483,-103.96076666666599,150,0.002,[cells/mL (X 10^5)],0.09719729702919722,0.009773501135766728, [mmol C/m^3]
2010-12-09T00:00:00,-26.2483,-103.96076666666599,155,0.002,[cells/mL (X 10^5)],0.09719729702919722,0.009773501135766728, [mmol C/m^3]
2010-12-09T00:00:00,-26.2483,-103.96076666666599,160,0.001,[cells/mL (X 10^5)],,, [mmol C/m^3]
2010-12-09T00:00:00,-26.2483,-103.96076666666599,170,0.001,[cells/mL (X 10^5)],0.09827304631471634,0.007820493620674001, [mmol C/m^3]
2010-12-09T00:00:00,-26.2483,-103.96076666666599,175,0.0,[cells/mL (X 10^5)],0.09827304631471634,0.007820493620674001, [mmol C/m^3]
2010-12-09T00:00:00,-26.2483,-103.96076666666599,180,0.0,[cells/mL (X 10^5)],,, [mmol C/m^3]
