time,lat,lon,depth,Synechococcus,Unit,picoprokaryote,picoprokaryote_std,target_unit
2018-03-16T22:44:20,21.898000000000003,-156.00799999999995,77.0,0.002,[#/ml],,, [mmol C/m^3]
2018-03-16T22:46:33,21.898000000000003,-156.00799999999995,49.7,0.013,[#/ml],,, [mmol C/m^3]
2018-03-16T22:49:33,21.898000000000003,-156.00799999999995,14.7,0.014,[#/ml],,, [mmol C/m^3]
2018-03-17T01:32:51,21.912,-155.994,75.5,0.002,[#/ml],,, [mmol C/m^3]
2018-03-17T01:35:55,21.912,-155.994,45.3,0.014,[#/ml],,, [mmol C/m^3]
2018-03-17T01:37:46,21.912,-155.994,24.6,0.014,[#/ml],,, [mmol C/m^3]
2018-03-17T01:39:39,21.912,-155.994,5.4,0.011,[#/ml],,, [mmol C/m^3]
2018-03-17T22:34:44,21.934,-156.014,85.9,0.002,[#/ml],,, [mmol C/m^3]
2018-03-17T22:37:00,21.934,-156.014,80.2,0.004,[#/ml],,, [mmol C/m^3]
2018-03-17T22:40:02,21.934,-156.014,50.6,0.016,[#/ml],,, [mmol C/m^3]
2018-03-17T22:43:00,21.934,-156.014,14.5,0.013,[#/ml],,, [mmol C/m^3]
2018-03-18T22:33:47,22.038,-156.101,83.1,0.001,[#/ml],,, [mmol C/m^3]
2018-03-18T22:35:14,22.038,-156.101,79.0,0.004,[#/ml],,, [mmol C/m^3]
2018-03-18T22:43:19,22.038,-156.101,51.2,0.015,[#/ml],,, [mmol C/m^3]
2018-03-18T22:46:16,22.038,-156.101,13.7,0.01,[#/ml],,, [mmol C/m^3]
2018-03-19T22:49:16,22.075,-156.17700000000005,50.7,0.015,[#/ml],,, [mmol C/m^3]
2018-03-19T22:52:37,22.075,-156.17700000000005,13.9,0.016,[#/ml],,, [mmol C/m^3]
2018-03-20T22:34:28,22.081,-156.233,83.0,0.002,[#/ml],,, [mmol C/m^3]
2018-03-20T22:35:50,22.081,-156.233,78.2,0.005,[#/ml],,, [mmol C/m^3]
2018-03-20T22:38:26,22.081,-156.233,50.3,0.016,[#/ml],,, [mmol C/m^3]
2018-03-20T22:41:30,22.081,-156.233,15.0,0.015,[#/ml],,, [mmol C/m^3]
2018-03-21T22:30:26,22.158,-156.25799999999995,102.5,0.003,[#/ml],,, [mmol C/m^3]
2018-03-21T22:33:39,22.158,-156.25799999999995,50.5,0.014,[#/ml],,, [mmol C/m^3]
2018-03-21T22:37:05,22.158,-156.25799999999995,13.8,0.013,[#/ml],,, [mmol C/m^3]
2018-03-22T01:46:24,22.175,-156.283,75.9,0.009000000000000001,[#/ml],,, [mmol C/m^3]
2018-03-22T01:50:10,22.175,-156.283,44.6,0.018000000000000002,[#/ml],,, [mmol C/m^3]
2018-03-22T01:54:26,22.175,-156.283,24.9,0.016,[#/ml],,, [mmol C/m^3]
2018-03-22T01:57:34,22.175,-156.283,4.3,0.016,[#/ml],,, [mmol C/m^3]
2018-04-03T01:44:50,22.312,-157.088,73.6,0.019,[#/ml],,, [mmol C/m^3]
2018-04-03T01:46:52,22.312,-157.088,45.3,0.025,[#/ml],,, [mmol C/m^3]
2018-04-03T01:48:55,22.312,-157.088,26.3,0.022,[#/ml],,, [mmol C/m^3]
2018-04-03T01:51:27,22.312,-157.088,5.2,0.02,[#/ml],,, [mmol C/m^3]
2018-04-05T22:58:15,22.361,-157.727,75.3,0.02,[#/ml],,, [mmol C/m^3]
2018-04-05T23:00:44,22.361,-157.727,45.7,0.025,[#/ml],,, [mmol C/m^3]
2018-04-05T23:03:00,22.361,-157.727,25.2,0.024,[#/ml],,, [mmol C/m^3]
2018-04-05T23:06:16,22.361,-157.727,5.1,0.022,[#/ml],,, [mmol C/m^3]
2018-04-06T04:37:27,22.833,-158.37,123.6,0.004,[#/ml],,, [mmol C/m^3]
2018-04-06T04:39:39,22.833,-158.37,98.9,0.024,[#/ml],,, [mmol C/m^3]
2018-04-06T04:41:56,22.833,-158.37,74.6,0.028,[#/ml],,, [mmol C/m^3]
2018-04-06T04:44:19,22.833,-158.37,45.0,0.027000000000000003,[#/ml],,, [mmol C/m^3]
2018-04-06T04:46:07,22.833,-158.37,23.9,0.027000000000000003,[#/ml],,, [mmol C/m^3]
2018-04-06T04:48:41,22.833,-158.37,5.9,0.023,[#/ml],,, [mmol C/m^3]
2018-04-06T16:26:48,23.782,-159.55700000000004,125.3,0.006,[#/ml],,, [mmol C/m^3]
2018-04-06T16:29:42,23.782,-159.55700000000004,99.7,0.009000000000000001,[#/ml],,, [mmol C/m^3]
2018-04-06T16:31:21,23.782,-159.55700000000004,74.7,0.023,[#/ml],,, [mmol C/m^3]
2018-04-06T16:34:15,23.782,-159.55700000000004,45.4,0.031,[#/ml],,, [mmol C/m^3]
2018-04-06T16:36:59,23.782,-159.55700000000004,25.2,0.03,[#/ml],,, [mmol C/m^3]
2018-04-06T16:39:58,23.782,-159.55700000000004,4.9,0.038,[#/ml],,, [mmol C/m^3]
2018-04-07T01:24:28,24.512,-160.507,149.8,0.006999999999999999,[#/ml],,, [mmol C/m^3]
2018-04-07T01:26:14,24.512,-160.507,124.7,0.017,[#/ml],,, [mmol C/m^3]
2018-04-07T01:28:51,24.512,-160.507,98.2,0.045,[#/ml],,, [mmol C/m^3]
2018-04-07T01:31:17,24.512,-160.507,74.3,0.031,[#/ml],,, [mmol C/m^3]
2018-04-07T01:33:49,24.512,-160.507,44.5,0.033,[#/ml],,, [mmol C/m^3]
2018-04-07T01:37:17,24.512,-160.507,24.0,0.032,[#/ml],,, [mmol C/m^3]
2018-04-07T01:41:46,24.512,-160.507,4.8,0.032,[#/ml],,, [mmol C/m^3]
