time,lat,lon,depth,Prochlorococcus,Unit,picoprokaryote,picoprokaryote_std,target_unit
2018-03-16T22:36:31,21.898000000000003,-156.00799999999995,106.4,0.616,[#/ml],,, [mmol C/m^3]
2018-03-16T22:37:38,21.898000000000003,-156.00799999999995,102.3,0.8029999999999999,[#/ml],,, [mmol C/m^3]
2018-03-16T22:39:38,21.898000000000003,-156.00799999999995,97.7,1.038,[#/ml],,, [mmol C/m^3]
2018-03-16T22:40:50,21.898000000000003,-156.00799999999995,92.6,1.166,[#/ml],,, [mmol C/m^3]
2018-03-16T22:41:56,21.898000000000003,-156.00799999999995,87.5,1.177,[#/ml],,, [mmol C/m^3]
2018-03-16T22:42:59,21.898000000000003,-156.00799999999995,82.3,1.195,[#/ml],,, [mmol C/m^3]
2018-03-16T22:44:20,21.898000000000003,-156.00799999999995,77.0,1.298,[#/ml],,, [mmol C/m^3]
2018-03-16T22:46:33,21.898000000000003,-156.00799999999995,49.7,2.119,[#/ml],,, [mmol C/m^3]
2018-03-16T22:49:33,21.898000000000003,-156.00799999999995,14.7,1.685,[#/ml],,, [mmol C/m^3]
2018-03-17T01:24:27,21.912,-155.994,175.3,0.003,[#/ml],,, [mmol C/m^3]
2018-03-17T01:26:14,21.912,-155.994,150.3,0.036000000000000004,[#/ml],,, [mmol C/m^3]
2018-03-17T01:28:05,21.912,-155.994,125.3,0.139,[#/ml],,, [mmol C/m^3]
2018-03-17T01:30:05,21.912,-155.994,100.8,0.608,[#/ml],,, [mmol C/m^3]
2018-03-17T01:32:51,21.912,-155.994,75.5,1.297,[#/ml],,, [mmol C/m^3]
2018-03-17T01:35:55,21.912,-155.994,45.3,2.001,[#/ml],,, [mmol C/m^3]
2018-03-17T01:37:46,21.912,-155.994,24.6,1.881,[#/ml],,, [mmol C/m^3]
2018-03-17T01:39:39,21.912,-155.994,5.4,1.6130000000000002,[#/ml],,, [mmol C/m^3]
2018-03-17T22:27:54,21.934,-156.014,111.1,0.597,[#/ml],,, [mmol C/m^3]
2018-03-17T22:29:07,21.934,-156.014,105.5,0.598,[#/ml],,, [mmol C/m^3]
2018-03-17T22:30:15,21.934,-156.014,100.0,0.675,[#/ml],,, [mmol C/m^3]
2018-03-17T22:31:58,21.934,-156.014,95.5,0.909,[#/ml],,, [mmol C/m^3]
2018-03-17T22:33:08,21.934,-156.014,89.8,0.946,[#/ml],,, [mmol C/m^3]
2018-03-17T22:34:44,21.934,-156.014,85.9,1.259,[#/ml],,, [mmol C/m^3]
2018-03-17T22:37:00,21.934,-156.014,80.2,1.405,[#/ml],,, [mmol C/m^3]
2018-03-17T22:40:02,21.934,-156.014,50.6,2.325,[#/ml],,, [mmol C/m^3]
2018-03-17T22:43:00,21.934,-156.014,14.5,1.4680000000000002,[#/ml],,, [mmol C/m^3]
2018-03-18T22:25:11,22.038,-156.101,108.3,0.5489999999999999,[#/ml],,, [mmol C/m^3]
2018-03-18T22:26:59,22.038,-156.101,102.5,0.556,[#/ml],,, [mmol C/m^3]
2018-03-18T22:29:13,22.038,-156.101,97.6,0.921,[#/ml],,, [mmol C/m^3]
2018-03-18T22:30:19,22.038,-156.101,92.9,1.018,[#/ml],,, [mmol C/m^3]
2018-03-18T22:32:21,22.038,-156.101,88.5,1.209,[#/ml],,, [mmol C/m^3]
2018-03-18T22:33:47,22.038,-156.101,83.1,1.327,[#/ml],,, [mmol C/m^3]
2018-03-18T22:35:14,22.038,-156.101,79.0,1.414,[#/ml],,, [mmol C/m^3]
2018-03-18T22:43:19,22.038,-156.101,51.2,1.988,[#/ml],,, [mmol C/m^3]
2018-03-18T22:46:16,22.038,-156.101,13.7,1.465,[#/ml],,, [mmol C/m^3]
2018-03-19T22:20:46,22.075,-156.17700000000005,250.1,0.038,[#/ml],,, [mmol C/m^3]
2018-03-19T22:28:23,22.075,-156.17700000000005,121.9,0.44,[#/ml],,, [mmol C/m^3]
2018-03-19T22:30:48,22.075,-156.17700000000005,118.1,0.7809999999999999,[#/ml],,, [mmol C/m^3]
2018-03-19T22:32:40,22.075,-156.17700000000005,113.0,0.9,[#/ml],,, [mmol C/m^3]
2018-03-19T22:34:28,22.075,-156.17700000000005,108.6,1.006,[#/ml],,, [mmol C/m^3]
2018-03-19T22:38:33,22.075,-156.17700000000005,97.2,1.014,[#/ml],,, [mmol C/m^3]
2018-03-19T22:42:55,22.075,-156.17700000000005,103.3,0.921,[#/ml],,, [mmol C/m^3]
2018-03-19T22:45:15,22.075,-156.17700000000005,92.3,0.971,[#/ml],,, [mmol C/m^3]
2018-03-19T22:49:16,22.075,-156.17700000000005,50.7,2.008,[#/ml],,, [mmol C/m^3]
2018-03-19T22:52:37,22.075,-156.17700000000005,13.9,1.365,[#/ml],,, [mmol C/m^3]
2018-03-20T22:26:32,22.081,-156.233,107.6,0.5760000000000001,[#/ml],,, [mmol C/m^3]
2018-03-20T22:27:52,22.081,-156.233,101.2,0.621,[#/ml],,, [mmol C/m^3]
2018-03-20T22:29:54,22.081,-156.233,96.9,0.622,[#/ml],,, [mmol C/m^3]
2018-03-20T22:31:26,22.081,-156.233,92.2,0.764,[#/ml],,, [mmol C/m^3]
2018-03-20T22:32:48,22.081,-156.233,88.0,0.8640000000000001,[#/ml],,, [mmol C/m^3]
2018-03-20T22:34:28,22.081,-156.233,83.0,0.974,[#/ml],,, [mmol C/m^3]
2018-03-20T22:35:50,22.081,-156.233,78.2,1.004,[#/ml],,, [mmol C/m^3]
2018-03-20T22:38:26,22.081,-156.233,50.3,2.123,[#/ml],,, [mmol C/m^3]
2018-03-20T22:41:30,22.081,-156.233,15.0,1.531,[#/ml],,, [mmol C/m^3]
2018-03-21T22:22:33,22.158,-156.25799999999995,133.7,0.362,[#/ml],,, [mmol C/m^3]
2018-03-21T22:23:38,22.158,-156.25799999999995,129.6,0.391,[#/ml],,, [mmol C/m^3]
2018-03-21T22:24:56,22.158,-156.25799999999995,122.9,0.478,[#/ml],,, [mmol C/m^3]
2018-03-21T22:26:29,22.158,-156.25799999999995,118.7,0.623,[#/ml],,, [mmol C/m^3]
2018-03-21T22:27:53,22.158,-156.25799999999995,114.6,0.851,[#/ml],,, [mmol C/m^3]
2018-03-21T22:29:24,22.158,-156.25799999999995,108.7,0.916,[#/ml],,, [mmol C/m^3]
2018-03-21T22:30:26,22.158,-156.25799999999995,102.5,1.04,[#/ml],,, [mmol C/m^3]
2018-03-21T22:33:39,22.158,-156.25799999999995,50.5,1.709,[#/ml],,, [mmol C/m^3]
2018-03-21T22:37:05,22.158,-156.25799999999995,13.8,1.481,[#/ml],,, [mmol C/m^3]
2018-03-22T01:32:05,22.175,-156.283,173.1,0.002,[#/ml],,, [mmol C/m^3]
2018-03-22T01:36:42,22.175,-156.283,150.1,0.123,[#/ml],,, [mmol C/m^3]
2018-03-22T01:38:47,22.175,-156.283,124.4,0.379,[#/ml],,, [mmol C/m^3]
2018-03-22T01:41:21,22.175,-156.283,99.7,0.7809999999999999,[#/ml],,, [mmol C/m^3]
2018-03-22T01:46:24,22.175,-156.283,75.9,1.462,[#/ml],,, [mmol C/m^3]
2018-03-22T01:50:10,22.175,-156.283,44.6,1.95,[#/ml],,, [mmol C/m^3]
2018-03-22T01:54:26,22.175,-156.283,24.9,1.5219999999999998,[#/ml],,, [mmol C/m^3]
2018-03-22T01:57:34,22.175,-156.283,4.3,1.452,[#/ml],,, [mmol C/m^3]
2018-04-03T01:33:00,22.312,-157.088,174.0,0.062,[#/ml],,, [mmol C/m^3]
2018-04-03T01:35:41,22.312,-157.088,149.3,0.098,[#/ml],,, [mmol C/m^3]
2018-04-03T01:38:07,22.312,-157.088,124.1,0.326,[#/ml],,, [mmol C/m^3]
2018-04-03T01:42:10,22.312,-157.088,99.6,0.6629999999999999,[#/ml],,, [mmol C/m^3]
2018-04-03T01:44:50,22.312,-157.088,73.6,1.802,[#/ml],,, [mmol C/m^3]
2018-04-03T01:46:52,22.312,-157.088,45.3,1.966,[#/ml],,, [mmol C/m^3]
2018-04-03T01:48:55,22.312,-157.088,26.3,1.6569999999999998,[#/ml],,, [mmol C/m^3]
2018-04-03T01:51:27,22.312,-157.088,5.2,1.569,[#/ml],,, [mmol C/m^3]
2018-04-05T22:48:01,22.361,-157.727,174.8,0.009000000000000001,[#/ml],,, [mmol C/m^3]
2018-04-05T22:49:35,22.361,-157.727,149.0,0.08800000000000001,[#/ml],,, [mmol C/m^3]
2018-04-05T22:51:55,22.361,-157.727,124.1,0.405,[#/ml],,, [mmol C/m^3]
2018-04-05T22:54:58,22.361,-157.727,99.2,0.78,[#/ml],,, [mmol C/m^3]
2018-04-05T22:58:15,22.361,-157.727,75.3,1.89,[#/ml],,, [mmol C/m^3]
2018-04-05T23:00:44,22.361,-157.727,45.7,2.219,[#/ml],,, [mmol C/m^3]
2018-04-05T23:03:00,22.361,-157.727,25.2,1.974,[#/ml],,, [mmol C/m^3]
2018-04-05T23:06:16,22.361,-157.727,5.1,1.816,[#/ml],,, [mmol C/m^3]
2018-04-06T04:30:30,22.833,-158.37,173.6,0.113,[#/ml],,, [mmol C/m^3]
2018-04-06T04:33:16,22.833,-158.37,149.1,0.225,[#/ml],,, [mmol C/m^3]
2018-04-06T04:37:27,22.833,-158.37,123.6,0.6759999999999999,[#/ml],,, [mmol C/m^3]
2018-04-06T04:39:39,22.833,-158.37,98.9,2.0,[#/ml],,, [mmol C/m^3]
2018-04-06T04:41:56,22.833,-158.37,74.6,2.28,[#/ml],,, [mmol C/m^3]
2018-04-06T04:44:19,22.833,-158.37,45.0,2.191,[#/ml],,, [mmol C/m^3]
2018-04-06T04:46:07,22.833,-158.37,23.9,2.239,[#/ml],,, [mmol C/m^3]
2018-04-06T04:48:41,22.833,-158.37,5.9,1.67,[#/ml],,, [mmol C/m^3]
2018-04-06T16:21:40,23.782,-159.55700000000004,173.2,0.047,[#/ml],,, [mmol C/m^3]
2018-04-06T16:23:17,23.782,-159.55700000000004,150.3,0.35200000000000004,[#/ml],,, [mmol C/m^3]
2018-04-06T16:26:48,23.782,-159.55700000000004,125.3,0.655,[#/ml],,, [mmol C/m^3]
2018-04-06T16:29:42,23.782,-159.55700000000004,99.7,1.05,[#/ml],,, [mmol C/m^3]
2018-04-06T16:31:21,23.782,-159.55700000000004,74.7,2.248,[#/ml],,, [mmol C/m^3]
2018-04-06T16:34:15,23.782,-159.55700000000004,45.4,2.521,[#/ml],,, [mmol C/m^3]
2018-04-06T16:36:59,23.782,-159.55700000000004,25.2,2.362,[#/ml],,, [mmol C/m^3]
2018-04-06T16:39:58,23.782,-159.55700000000004,4.9,2.024,[#/ml],,, [mmol C/m^3]
2018-04-07T01:22:14,24.512,-160.507,173.8,0.062,[#/ml],,, [mmol C/m^3]
2018-04-07T01:24:28,24.512,-160.507,149.8,0.219,[#/ml],,, [mmol C/m^3]
2018-04-07T01:26:14,24.512,-160.507,124.7,0.597,[#/ml],,, [mmol C/m^3]
2018-04-07T01:28:51,24.512,-160.507,98.2,1.634,[#/ml],,, [mmol C/m^3]
2018-04-07T01:31:17,24.512,-160.507,74.3,1.5519999999999998,[#/ml],,, [mmol C/m^3]
2018-04-07T01:33:49,24.512,-160.507,44.5,1.547,[#/ml],,, [mmol C/m^3]
2018-04-07T01:37:17,24.512,-160.507,24.0,1.597,[#/ml],,, [mmol C/m^3]
2018-04-07T01:41:46,24.512,-160.507,4.8,1.557,[#/ml],,, [mmol C/m^3]
