time,lat,lon,depth,Prochlorococcus,Unit,picoprokaryote,picoprokaryote_std,target_unit
2018-07-14T01:10:27,19.447,-154.76,124.3,1.1909999999999998,[#/ml],,, [mmol C/m^3]
2018-07-14T01:12:36,19.447,-154.76,99.5,1.382,[#/ml],,, [mmol C/m^3]
2018-07-14T01:16:45,19.447,-154.76,74.6,1.218,[#/ml],,, [mmol C/m^3]
2018-07-14T01:18:59,19.447,-154.76,45.4,1.062,[#/ml],,, [mmol C/m^3]
2018-07-14T01:20:41,19.447,-154.76,26.6,1.471,[#/ml],,, [mmol C/m^3]
2018-07-14T01:22:57,19.447,-154.76,7.2,0.81,[#/ml],,, [mmol C/m^3]
2018-07-14T04:25:22,19.45,-154.82,125.7,0.172,[#/ml],,, [mmol C/m^3]
2018-07-14T04:28:05,19.45,-154.82,99.8,0.51,[#/ml],,, [mmol C/m^3]
2018-07-14T04:31:17,19.45,-154.82,76.6,0.823,[#/ml],,, [mmol C/m^3]
2018-07-14T04:33:18,19.45,-154.82,46.5,0.326,[#/ml],,, [mmol C/m^3]
2018-07-14T04:35:33,19.45,-154.82,25.8,0.652,[#/ml],,, [mmol C/m^3]
2018-07-14T04:37:17,19.45,-154.82,6.2,0.431,[#/ml],,, [mmol C/m^3]
2018-07-14T15:26:34,19.423,-154.81,125.5,0.306,[#/ml],,, [mmol C/m^3]
2018-07-14T15:27:56,19.423,-154.81,100.6,0.813,[#/ml],,, [mmol C/m^3]
2018-07-14T15:29:30,19.423,-154.81,75.7,1.02,[#/ml],,, [mmol C/m^3]
2018-07-14T15:31:02,19.423,-154.81,45.0,0.958,[#/ml],,, [mmol C/m^3]
2018-07-14T15:32:34,19.423,-154.81,26.4,0.7909999999999999,[#/ml],,, [mmol C/m^3]
2018-07-14T15:34:36,19.423,-154.81,4.8,0.677,[#/ml],,, [mmol C/m^3]
2018-07-14T21:23:51,19.373,-154.708,125.7,0.174,[#/ml],,, [mmol C/m^3]
2018-07-14T21:26:15,19.373,-154.708,102.2,0.617,[#/ml],,, [mmol C/m^3]
2018-07-14T21:28:07,19.373,-154.708,75.3,1.186,[#/ml],,, [mmol C/m^3]
2018-07-14T21:29:54,19.373,-154.708,44.5,1.514,[#/ml],,, [mmol C/m^3]
2018-07-14T21:32:11,19.373,-154.708,25.5,1.6869999999999998,[#/ml],,, [mmol C/m^3]
2018-07-14T21:34:18,19.373,-154.708,5.6,5.2170000000000005,[#/ml],,, [mmol C/m^3]
2018-07-15T06:29:50,19.099,-154.506,125.1,0.177,[#/ml],,, [mmol C/m^3]
2018-07-15T06:31:34,19.099,-154.506,99.9,0.448,[#/ml],,, [mmol C/m^3]
2018-07-15T06:33:04,19.099,-154.506,75.1,1.182,[#/ml],,, [mmol C/m^3]
2018-07-15T06:34:52,19.099,-154.506,45.2,1.892,[#/ml],,, [mmol C/m^3]
2018-07-15T06:36:34,19.099,-154.506,25.8,1.835,[#/ml],,, [mmol C/m^3]
2018-07-15T06:38:48,19.099,-154.506,5.0,1.422,[#/ml],,, [mmol C/m^3]
2018-07-15T16:12:37,18.698,-154.526,124.7,0.589,[#/ml],,, [mmol C/m^3]
2018-07-15T16:14:49,18.698,-154.526,99.7,1.078,[#/ml],,, [mmol C/m^3]
2018-07-15T16:16:19,18.698,-154.526,75.5,2.071,[#/ml],,, [mmol C/m^3]
2018-07-15T16:18:14,18.698,-154.526,43.6,1.617,[#/ml],,, [mmol C/m^3]
2018-07-15T16:19:52,18.698,-154.526,25.1,1.509,[#/ml],,, [mmol C/m^3]
2018-07-15T16:21:51,18.698,-154.526,4.3,1.471,[#/ml],,, [mmol C/m^3]
